hash,fileName,fileId,viewUrl,thumbnailUrl,localFile
03da555c8e,jr-reward-03da555c8e.webp,19YUrQyBsk6N9_g4qijyDiohw9J9I96BM,https://drive.google.com/file/d/19YUrQyBsk6N9_g4qijyDiohw9J9I96BM/view?usp=drivesdk,https://drive.google.com/thumbnail?id=19YUrQyBsk6N9_g4qijyDiohw9J9I96BM&sz=w1600,01-code/app/assets/badges/jr-rewards/03da555c8e.webp
03ea38602c,jr-reward-03ea38602c.webp,1D785YGSPm9iIuvZV995JqilQkLGxk9OF,https://drive.google.com/file/d/1D785YGSPm9iIuvZV995JqilQkLGxk9OF/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1D785YGSPm9iIuvZV995JqilQkLGxk9OF&sz=w1600,01-code/app/assets/badges/jr-rewards/03ea38602c.webp
03fa596e1a,jr-reward-03fa596e1a.webp,1aK89clWfsdt_sWsWQW7QsSy7w0rZh_CD,https://drive.google.com/file/d/1aK89clWfsdt_sWsWQW7QsSy7w0rZh_CD/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1aK89clWfsdt_sWsWQW7QsSy7w0rZh_CD&sz=w1600,01-code/app/assets/badges/jr-rewards/03fa596e1a.webp
04012e9f7b,jr-reward-04012e9f7b.webp,1jE8M0mKfxNb50jdzPbyZg_b2W9v5rGGs,https://drive.google.com/file/d/1jE8M0mKfxNb50jdzPbyZg_b2W9v5rGGs/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1jE8M0mKfxNb50jdzPbyZg_b2W9v5rGGs&sz=w1600,01-code/app/assets/badges/jr-rewards/04012e9f7b.webp
0404b20475,jr-reward-0404b20475.webp,1eY9XPBPyz3cfBAg7eDPjYUq0aKntQXS4,https://drive.google.com/file/d/1eY9XPBPyz3cfBAg7eDPjYUq0aKntQXS4/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1eY9XPBPyz3cfBAg7eDPjYUq0aKntQXS4&sz=w1600,01-code/app/assets/badges/jr-rewards/0404b20475.webp
04197b5251,jr-reward-04197b5251.webp,1UayiyEBqUK4_uq12BcJvHR6j5oFu1THK,https://drive.google.com/file/d/1UayiyEBqUK4_uq12BcJvHR6j5oFu1THK/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1UayiyEBqUK4_uq12BcJvHR6j5oFu1THK&sz=w1600,01-code/app/assets/badges/jr-rewards/04197b5251.webp
0419bae31a,jr-reward-0419bae31a.webp,13rKvjrTIgUAreftp5NGyOHigGKd1bO2u,https://drive.google.com/file/d/13rKvjrTIgUAreftp5NGyOHigGKd1bO2u/view?usp=drivesdk,https://drive.google.com/thumbnail?id=13rKvjrTIgUAreftp5NGyOHigGKd1bO2u&sz=w1600,01-code/app/assets/badges/jr-rewards/0419bae31a.webp
0429ce3511,jr-reward-0429ce3511.webp,1kBczYCjbHqx8en1whek66GSB2mbE6KEu,https://drive.google.com/file/d/1kBczYCjbHqx8en1whek66GSB2mbE6KEu/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1kBczYCjbHqx8en1whek66GSB2mbE6KEu&sz=w1600,01-code/app/assets/badges/jr-rewards/0429ce3511.webp
04339cfb68,jr-reward-04339cfb68.webp,1PX-UtSL7nvbglUmY_lkPHb57au1srY1B,https://drive.google.com/file/d/1PX-UtSL7nvbglUmY_lkPHb57au1srY1B/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1PX-UtSL7nvbglUmY_lkPHb57au1srY1B&sz=w1600,01-code/app/assets/badges/jr-rewards/04339cfb68.webp
0468042024,jr-reward-0468042024.webp,1WnjPeN5A-SORorz5jXmpGQxx99VcQfnO,https://drive.google.com/file/d/1WnjPeN5A-SORorz5jXmpGQxx99VcQfnO/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1WnjPeN5A-SORorz5jXmpGQxx99VcQfnO&sz=w1600,01-code/app/assets/badges/jr-rewards/0468042024.webp
0479771bfb,jr-reward-0479771bfb.webp,1xFsmiAsuhk7Hom8_JZznlck2EoFitve6,https://drive.google.com/file/d/1xFsmiAsuhk7Hom8_JZznlck2EoFitve6/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1xFsmiAsuhk7Hom8_JZznlck2EoFitve6&sz=w1600,01-code/app/assets/badges/jr-rewards/0479771bfb.webp
0493a47da8,jr-reward-0493a47da8.webp,1odBaXrWBFdgSM9zaKJxAh6lTQ6U1ldtf,https://drive.google.com/file/d/1odBaXrWBFdgSM9zaKJxAh6lTQ6U1ldtf/view?usp=drivesdk,https://drive.google.com/thumbnail?id=1odBaXrWBFdgSM9zaKJxAh6lTQ6U1ldtf&sz=w1600,01-code/app/assets/badges/jr-rewards/0493a47da8.webp
